Background,Dwelling Type ID,Dwelling Type Name,Age ID,Age Name,Gender ID,Gender Name,2012,2013,2014,2015,2016,2017,2018,2019,2020
,FBHY0,multi-dwelling buildings -- rented,0-9,-9 years,1,men,74305,76382,77895,78766,79024,78998,78025,76457,74498
,,,,,2,women,70810,72467,73785,74688,74866,74568,73732,72139,70178
,,,,,4,men and women,145115,148849,151680,153454,153890,153566,151757,148596,144676
,,,010-19,10-19 years,1,men,57758,55895,54677,53786,53357,53782,54570,55534,56614
,,,,,2,women,57836,55893,54231,53224,52555,52988,53584,54527,55784
,,,,,4,men and women,115594,111788,108908,107010,105912,106770,108154,110061,112398
,,,020-29,20-29 years,1,men,160799,161129,160770,158709,154720,150030,144673,139448,133684
,,,,,2,women,163016,164508,164105,161141,156862,151229,145310,140238,135249
,,,,,4,men and women,323815,325637,324875,319850,311582,301259,289983,279686,268933
,,,030-39,30-39 years,1,men,98385,98145,98413,98777,100098,101230,103986,106980,110867
,,,,,2,women,85744,85647,86089,86917,88111,90295,92895,95903,99060
,,,,,4,men and women,184129,183792,184502,185694,188209,191525,196881,202883,209927
,,,040-49,40-49 years,1,men,80233,79304,78049,76339,74142,72318,70699,70354,69986
,,,,,2,women,82310,80967,79181,76701,73926,71415,69570,68731,68245
,,,,,4,men and women,162543,160271,157230,153040,148068,143733,140269,139085,138231
,,,050-59,50-59 years,1,men,73877,74182,75680,77028,77525,78132,77933,77010,76545
,,,,,2,women,81402,81817,83544,84893,85654,86125,85788,84868,83959
